Unnamed: 0,题目分类,题型,题干,选项,答案
1,通用题库,01单选题,2013年6月6日，习近平就做好安全生产工作作出重要指示，要始终把人民生命安全放在首位，以对党和人民高度负责的精神，完善制度、强化责任、加强管理、严格监管，把（    ）落到实处，切实防范重特大安全生产事故的发生。,A-安全生产|B-生命至上|C-安全奖惩机制|D-安全生产责任制,D
2,通用题库,01单选题,"2013年11月24日,习近平总书记在青岛中石化“11·22”东黄输油管线爆燃事故现场发表重要讲话:企业要抓紧建立健全安全生产责任体系,（    ）必须亲力亲为、亲自动手抓。",A-总经理|B-董事长|C-党政一把手|D-分管领导,C
3,通用题库,01单选题,"2015年12月24日,习近平总书记在十八届中央政治局常委会第127次会议上关于安全生产工作重要讲话指出:采取（    ）工作机制,推动安全生产关口前移。",A-风险分级管控、隐患排查治理双重预防|B-风险分级管控|C-隐患排查治理|D-现场督查,A
4,通用题库,01单选题,2016年4月19日，习近平总书记在网络安全和信息化工作座谈会上讲话，全天候全方位感知（    ）安全态势。知己知彼，才能百战不殆。没有意识到风险是最大的风险。,A-信息|B-数据|C-网络|D-科技,C
5,通用题库,01单选题,"2016年10月11日,习近平总书记在中央全面深化改革领导小组第二十八次会议上发表重要讲话：推进安全生产领域改革发展，关键是要作出（    ）安排，依靠严密的责任体系、严格的法治措施、有效的体制机制、有力的基础保障和完善的系统治理，解决好安全生产领域的突出问题",A-系统性|B-依法治安|C-责任落实|D-制度性,D
6,通用题库,01单选题,"2018年11月9日,习近平总书记为国家综合性消防救援队伍授旗指出:组建（    ）队伍,是党中央适应国家治理体系和治理能力现代化作出的战略决策,是立足我国国情和灾害事故特点、构建新时代国家应急救援体系的重要举措,对提高防灾减灾救灾能力、维护社会公共安全、保护人民生命财产安全具有重大意义。",A-国家综合性消防救援队伍|B-国家安全生产应急救援队伍|C-国家综合性应急救援队伍|D-国家应急救援队伍,A
7,通用题库,01单选题,习近平总书记在2019年11月29日中共中央政治局第十九次集体学习时的讲话提出，（    ）是国家治理体系和治理能力的重要组成部分，承担防范化解重大安全风险、及时应对处置各类灾害事故的重要职责，担负保护人民群众生命财产安全和维护社会稳定的重要使命。,A-防震救灾|B-应急管理|C-安全生产|D-生产建设,B
8,通用题库,01单选题,2013年11月24日，习近平总书记到青岛市考察黄岛经济开发区输油管线事故抢险工作发表重要讲话，要深化安全生产大检查，彻底排除隐患。要建立（    ），实行谁检查、谁签字、谁负责，做到不打折扣、不留死角、不走过场，务必见到成效。,A-安全生产检查工作责任制|B-安全生产责任制|C-企业主体责任制|D-党政主要负责人责任制,A
9,通用题库,01单选题,习近平总书记在党的二十大报告中指出：必须坚定不移贯彻（    ），把维护国家安全贯穿党和国家工作各方面全过程，确保国家安全和社会稳定。,A-社会和谐稳定观|B-总体国家安全观|C-安全发展观|D-科学发展观,B
10,通用题库,01单选题,2023年1月，习近平春节前夕视频连线看望慰问基层干部群众时指出，坚持（    ），预防为主，建立大安全大应急框架，完善公共安全体系，推动公共安全治理模式向事前预防转型。推进安全生产风险专项整治，加强重点行业、重点领域安全监管。,A-生命第一|B-安全第一|C-人民至上|D-安全至上,B
11,通用题库,01单选题,新《安全生产法》规定，从业人员在作业过程中，应当严格落实（    ），遵守本单位的安全生产规章制度和操作规程，服从管理，正确佩戴和使用劳动防护用品。,A-岗位安全责任|B-安全生产责任制|C-岗位安全操作规程|D-生产责任制,A
12,通用题库,01单选题,新《安全生产法》规定，从业人员发现事故隐患或者其他不安全因素，应当（    ）向现场安全生产管理人员或者本单位负责人报告;接到报告的人员应当及时予以处理。,A-立即|B-在工作结束后|C-在工作不忙时|D-不予理睬,A
13,通用题库,01单选题,新《安全生产法》规定，因（    ）受到损害的从业人员，除依法享有工伤保险外，依照有关民事法律尚有获得赔偿的权利的，有权提出赔偿要求。,A-假期外出旅游|B-自然灾害|C-生产安全事故|D-外出办理私事,C
14,通用题库,01单选题,新《安全生产法》规定，生产经营单位必须为从业人员提供符合（    ）的劳动防护用品，并监督、教育从业人员按照使用规则佩戴、使用。,A-国家标准或者企业制度|B-国家标准或者行业标准|C-行业标准|D-地方标准,B
15,通用题库,01单选题,依据新《安全生产法》，生产经营单位与从业人员订立的劳动合同，应当载明有关的事项不包括（    ）。,A-保障从业人员劳动安全、防止职业危害的事项|B-依法为从业人员办理工伤保险的事项|C-免责条款|D-劳动报酬,C
16,通用题库,01单选题,万某、姚某、徐某3人被某劳务派遣公司派遣到一家公司工作。一天公司为从业人员发放劳动防护用品，但没有给他们3人发。公司负责人安某告诉他们说，由于你们和公司没有建立劳动关系，不是正式员工，按照国家规定由劳务派遣单位为你们提供劳动防护用品。徐某和他辩论说:“不对，你们应当把我们和其他人一样对待，提供劳动防护用品。”见两人争执不下，万某劝徐某说:“算了，咱就是个临时工，不给咱发也说得过去。”姚某说:“不给咱发也行，咱就干活儿拿钱，他们那些规章制度咱也不用听。”依据新《安全生产法》，以上人员说法正确的是（    ）。,A-徐某|B-万某|C-姚某|D-3人说法均错误,A
17,通用题库,01单选题,某企业开会讨论员工安全培训工作。张某认为，安全培训走走形式就行了，别耽误生产；李某认为，培训的重点是安全规章制度和操作规程，不要培训员工的安全生产权利；赵某认为，我没有经过培训照样上岗也没出事，培不培训无所谓；王某认为，培训内容应该与工作相关，培训考核不合格不能工作。根据新《安全生产法》的规定，下列员工中说法正确的是（    ）。,A-李某|B-赵某|C-王某|D-3人说法均错误,C
18,通用题库,01单选题,新《安全生产法》规定，生产经营单位新建、改建、扩建工程项目的（    ），必须与主体工程同时设计、同时施工、同时投入生产和使用。,A-生活设施|B-福利设施|C-安全设施|D-办公设施,C
19,通用题库,01单选题,新《安全生产法》规定，从业人员在作业过程中，应当严格落实（    ），遵守本单位的安全生产规章制度和操作规程，服从管理，正确佩戴和使用劳动防护用品。,A-岗位安全责任|B-安全生产责任制|C-岗位安全操作规程|D-生产责任制,A
20,通用题库,01单选题,新《安全生产法》规定，从业人员发现事故隐患或者其他不安全因素，应当（    ）向现场安全生产管理人员或者本单位负责人报告;接到报告的人员应当及时予以处理。,A-立即|B-在工作结束后|C-在工作不忙时|D-不予理睬,A
21,通用题库,01单选题,新《安全生产法》中规定，生产经营单位应当在有较大危险因素的生产经营场所和有关设施、设备上，设置明显的安全（    ）。,A-指示标志|B-指令标志|C-警示标志|D-逃生标志,C
22,通用题库,01单选题,新《安全生产法》规定，因（    ）受到损害的从业人员，除依法享有工伤保险外，依照有关民事法律尚有获得赔偿的权利的，有权提出赔偿要求。,A-假期外出旅游|B-自然灾害|C-生产安全事故|D-外出办理私事,C
23,通用题库,01单选题,万某、姚某、徐某3人被某劳务派遣公司派遣到一家公司工作。一天公司为从业人员发放劳动防护用品，但没有给他们3人发。公司负责人安某告诉他们说，由于你们和公司没有建立劳动关系，不是正式员工，按照国家规定由劳务派遣单位为你们提供劳动防护用品。徐某和他辩论说:“不对，你们应当把我们和其他人一样对待，提供劳动防护用品。”见两人争执不下，万某劝徐某说:“算了，咱就是个临时工，不给咱发也说得过去。”姚某说:“不给咱发也行，咱就干活儿拿钱，他们那些规章制度咱也不用听。”依据新《安全生产法》，以上人员说法正确的是（    ）。,A-徐某|B-万某|C-姚某|D-3人说法均错误,A
24,通用题库,01单选题,某企业开会讨论员工安全培训工作。张某认为，安全培训走走形式就行了，别耽误生产；李某认为，培训的重点是安全规章制度和操作规程，不要培训员工的安全生产权利；赵某认为，我没有经过培训照样上岗也没出事，培不培训无所谓；王某认为，培训内容应该与工作相关，培训考核不合格不能工作。根据新《安全生产法》，下列员工中说法正确的是（    ）。,A-李某|B-赵某|C-王某|D-3人说法均错误,C
25,通用题库,01单选题,新《安全生产法》规定，生产经营单位新建、改建、扩建工程项目的（    ），必须与主体工程同时设计、同时施工、同时投入生产和使用。,A-生活设施|B-福利设施|C-安全设施|D-办公设施,C
26,通用题库,01单选题,新《安全生产法》规定，生产经营单位应当建立（    ）档案，如实记录安全生产教育和培训的时间、内容、参加人员以及考核结果等情况。,A-员工个人家庭|B-安全生产教育和培训|C-业绩考核|D-业务能力,B
27,通用题库,01单选题,某电力工程公司进行地下电缆管道施工，李某作为项目经理违反安全管理规定安排工人作业，造成2名工人死亡。根据《刑法》修正案（十一）及相关司法解释，李某的行为涉嫌构成（    ）。,A-重大责任事故罪|B-一般责任事故罪|C-强令违章冒险作业罪|D-重大劳动安全事故罪,A
28,通用题库,01单选题,某电力公司的安全设施不符合国家规定，造成2名工人在进行电缆管道维修作业时死亡。根据《刑法》修正案（十一）及相关司法解释，关于犯罪主体及其罪名的说法，正确的是（    ）。,A-电力公司直接责任人员涉嫌构成重大责任事故罪|B-电力公司直接负责人的主管人员涉嫌构成重大劳动安全事故罪|C-电力公司负责人涉嫌构成强令违章冒险作业罪|D-电力公司安全管理人员涉嫌构成重大责任事故罪,B
29,通用题库,01单选题,某电力建设公司的安全生产条件不符合国家规定，导致施工现场发生了重大伤亡事故。根据《刑法》修正案（十一）及相关司法解释，该单位相关负责人涉嫌构成（    ）。,A-重大责任事故罪|B-玩忽职守罪|C-重大劳动安全事故罪|D-强令违章冒险作业罪,C
30,通用题库,01单选题,某矿井井下工人在工作时发现矿井通风设备出现故障，遂向当班副矿长报告。副矿长因急于下班回家，未及时安排人员维修，导致瓦斯聚集发生爆炸，造成21人死亡、1人重伤。依据《刑法》修正案（十一）的规定，副矿长的行为构成（    ）。,A-重大责任事故罪|B-玩忽职守罪|C-重大劳动安全事故罪|D-危险物品肇事罪,C
31,通用题库,01单选题,根据《刑法》修正案（十一）规定，失火罪处以（    ）年有期徒刑。,A-1-2年|B-2-3年|C-3-7年,C
32,通用题库,01单选题,老王经营一家鞋厂，未按照国家标准为临时用电的电气设备安装漏电保护装置，导致一名工人作业时触电死亡。根据《刑法》修正案（十一）的规定，老王的行为构成（    ）。,A-失职渎职罪|B-重大劳动安全事故罪|C-强令违章冒险作业罪,B
33,通用题库,01单选题,《刑法》修正案（十一）一百三十四条第二款，强令他人违章冒险作业，因而发生重大伤亡事故或者造成其他严重后果，处（    ）以下有期徒刑或者拘役。,A-一年|B-三年|C-五年,C
34,通用题库,01单选题,《刑法》修正案（十一）规定，对于强令他人违章冒险作业，因而发生重大伤亡事故或者造成其他严重后果，情节特别恶劣的，处（    ）年以上有期徒刑。,A-1|B-2|C-3|D-5,D
35,通用题库,01单选题,为保护人民群众生命财产安全，依法打击严重安全生产违法行为，《中华人民共和国刑法修正案(十一)》新增危险作业罪。下列行为中，涉嫌构成危险作业罪的是（    ）。,A-某企业员工李某破坏本企业防爆报警装置，具有发生重大伤亡事故的现实危险|B-某煤矿企业为逃避监管，矿长指示员工销毁超产能信息|C-某企业存在重大事故隐患被责令停产停业，主要负责人拒不不执行|D-某企业未取得危险化学品安全生产许可证，安排职工进行危险化学品生产,A
36,通用题库,01单选题,近年来，在生产、作业过程中违反安全管理制度事件频发，不仅对生产、作业人员，而且对其他不特定多数人的生命、健康和财产安全产生较大隐患，这种隐患一旦转化为安全生产事故，将造成难以估量的损失。为保护人民群众生命财产安全，依法打击严重安全生产违法行为，《中华人民共和国刑法修正案(十一)》新增危险作业罪。下列行为中，涉嫌构成危险作业罪的是（    ）。,A-某企业员工张三疏忽大意关闭报警装置|B-某企业涉及安全生产的事项未经依法批准或许可，擅自储存经营易制爆危险化学品等高度危险的生产作业活动，具有发生重大伤亡事故或其他严重后果的现实危险的|C-某企业未取得危险化学品经营许可证，进行危险化学品经营|D-某煤矿存在重大事故隐患被责令停止使用有关设备、设施，矿长拒不执行,B
37,通用题库,01单选题,某煤矿发生透水事故，当场死亡5人，主管安全生产的副总经理李某未向有关部门报告，贻误了事故抢险救援的时机，又导致3人死亡。依据《刑法》修正案（十一）及相关规定，对李某的刑事处罚，下列说法正确的是（    ）。,A-应处3年以下有期徒刑|B-应处7年以上有期徒刑|C-应处3年以上7年以下有期徒刑|D-应处以拘役,C
38,通用题库,01单选题,依据《刑法修正案（十一）》规定，从建筑物或者其他高空抛掷物品，情节严重的，处（  ）以下有期徒刑、拘役或者管制，并处或者单处罚金。,A-1年|B-2年|C-3年|D-半年,A
39,通用题库,01单选题,依据《刑法修正案（十一）》规定，下列哪个选项不属于安全生产管理机构或安全生产管理人员的义务？（  ）,A-组织或者参与拟订本单位安全生产规章制度、操作规程和安全生产事故应急救援预案|B-如实记录安全生产教育和培训情况|C-组织或参与本单位应急救援演练|D-保证本单位安全生产投入的有效实施,D
40,通用题库,01单选题,《电力安全事故应急处置和调查处理条例》规定，国务院电力监管机构依照《中华人民共和国突发事件应对法》和《国家突发公共事件总体应急预案》，组织编制国家处置电网大面积停电事件应急预案，报（    ）批准。,A-国务院|B-应急管理部|C公安部|D-商务部,A
41,通用题库,01单选题,依据《电力安全事故应急处置和调查处理条例》，电力企业应当按照国家有关规定，制定本企业（    ）预案。,A-事故应急|B-专项|C-人身伤亡|D-火灾,A
42,通用题库,01单选题,依据《电力安全事故应急处置和调查处理条例》，（    ）应当指导电力企业加强电力应急救援队伍建设，完善应急物资储备制度。,A-电力监管机构|B-国务院能源主管部门|C-国务院其他有关部门|D-地方人民政府及有关部门,A
43,通用题库,01单选题,依据《电力安全事故应急处置和调查处理条例》，事故造成地铁、机场、高层建筑、商场、影剧院、体育场馆等人员聚集场所停电的，应当迅速启用（    ），组织人员有序疏散。,A-应急电源|B-应急车辆|C-应急预案|D-应急照明,D
44,通用题库,01单选题,依据《电力安全事故应急处置和调查处理条例》，事故危及人身和设备安全的，发电厂、变电站（    ）可以按照有关规定，立即采取停运发电机组和输变电设备等紧急处置措施。,A-领导人员|B-运行值班人员|C-管理人员|D-值班长,B
45,通用题库,01单选题,依据《电力安全事故应急处置和调查处理条例》，事故造成重要电力用户供电中断的，重要电力用户应当按照有关技术要求迅速启动自备应急电源；启动自备应急电源无效的，（    ）应当提供必要的支援。,A-国务院能源主管部门|B-国务院其他有关部门|C-地方人民政府及有关部门|D-电网企业,D
46,通用题库,01单选题,依据《电力安全事故应急处置和调查处理条例》，事故发生后，有关电力企业应当立即采取相应的（    ），控制事故范围，防止发生电网系统性崩溃和瓦解。,A-紧急防范措施|B-应急处理方案|C-预防措施|D-紧急处置措施, D
47,通用题库,01单选题,依据《电力安全事故应急处置和调查处理条例》，事故造成重要电力用户供电中断的，重要电力用户应当按照有关技术要求（    ）。,A-恢复供电|B-切除故障设备|C-迅速启动自备应急电源|D-进行事故抢修,C
48,通用题库,01单选题,依据《电力安全事故应急处置和调查处理条例》，事故发生后，（     ）应当立即采取相应的紧急处置措施，控制事故范围，防止发生电网系统性崩溃和瓦解；事故危及人身和设备安全的，发电厂、变电站运行值班人员可以按照有关规定，立即采取停运发电机组和输变电设备等紧急处置措施。,A-国务院电力监管机构|B-国务院其他有关部门|C-有关地方人民政府|D-有关电力企业,D
49,通用题库,01单选题,《国家电网公司安全工作规定》规定，公司各级单位实行以各级（    ）为安全第一责任人的安全责任制，建立健全安全保证体系和安全监督体系，并充分发挥作用。,A-行政正职|B-主管安全领导|C-安全部门主任|D-分管安全领导,A
50,通用题库,01单选题,《国家电网公司安全工作规定》规定，公司各级单位的各部门、各岗位应有明确的安全管理职责，做到责任分担，并实行（    ）的安全逐级负责制。,A-上级对下级|B-下级对上级|C-三级安全网络|D-安全监督体系,B
51,通用题库,01单选题,《国家电网公司安全工作规定》规定，（    ）不属于地市公司级单位直属单位、县供电企业、公司直属单位下属单位子企业的安全目标。,A-不发生重伤及以上人身事故|B-不发生五级及以上人身事故|C-不发生一般及以上火灾事故|D-不发生本单位负同等及以上责任的重大交通事故,A
52,通用题库,01单选题,《国家电网公司安全工作规定》规定，督促、检查本单位安全工作，及时消除安全事故隐患是（    ）的安全工作的基本职责之一。,A-公司各级单位行政正职|B-公司各级单位行政副职|C-公司各级单位的各部门主任|D-公司各级单位成员,A
53,通用题库,01单选题,各级安委会成员部门按照（          ）的原则，负责专业范围内隐患排查治理工作。,A-“谁主管、谁负责”|B-“管业务必须管安全”|C-“全面排查、分级管理、闭环管控”|D-“业务相近”,B
54,通用题库,01单选题,各级单位应在每年（  ）底前，对照隐患排查标准，组织开展一次涵盖安全生产各领域、各专业、各环节的安全隐患全面排查。,A-3月底前|B-12月底前|C-6月底前|D-8月底前,C
55,通用题库,01单选题,各级（   ）应及时协调解决隐患治理有关事项，对需要多专业协同治理的明确治理责任、措施和资金，对于需要地方政府部门协调解决的应及时报告政府有关部门，对于超出本单位治理能力的应及时报送上级单位协调治理。,A-安委办|B-安监部|C-专业部门|D-安委会,D
56,通用题库,01单选题,重大隐患治理应执行(    )制度，实现闭环监管。,A-“两单一表”|B-“一单一表”|C-“两单两表”|D-“三单一表”,A
57,通用题库,01单选题,以下哪项不是国家能源局发布的《重大电力安全隐患判定标准(试行)》（国能综通安全〔2022〕123号）规定的重大电力安全隐患判定标准（）。,A-电网安全稳定控制系统以及直流控制保护系统参数、策略、定值计算和设定不正确|B-直流控保、直流配套安全稳定控制装置未按双重化配置|C-特高压换流变（油浸式平波电抗器）、乙炔、总烃等特征气体明显增高，内部存在局放，绝缘电阻和介损试验数据严重超标|D-220千伏及以上继电保护、稳控装置及其关联设备不满足双重化配置要求，直流电源、二次回路、保护通道等未独立,D
58,通用题库,01单选题,依据《重大电力安全隐患判定标准(试行)》（国能综通安全〔2022〕123号），（  ）输电通道内存在山火易燃物、施工外破、漂浮异物构成重大电力安全隐患。,A-重要|B-一般|C-密集|D-500千伏及以上,C
59,通用题库,01单选题,依据《重大电力安全隐患判定标准(试行)》（国能综通安全〔2022〕123号），（   ）及以上架空线路杆塔基础出现较大沉陷、严重开裂和显著上拔；铁塔主材弯曲度超标、连接螺栓松动；导、地线出现损伤、断股、严重腐蚀；金具本体出现变形、裂纹构成重大电力安全隐患。,A-750千伏|B-500千伏|C-220千伏|D-1000千伏,A
60,通用题库,01单选题,依据《重大火灾隐患判定方法》，单幢居住超过（  ）的施工驻地、员工宿舍等居住场所采用彩钢夹芯板搭建，且彩钢夹芯板芯材的燃烧性能等级低于GB 8624规定的A级,A-5人|B-10人|C-20人|D-15人,B
61,通用题库,01单选题,《国家电网有限公司安全工作奖惩规定》规定，公司所属各级单位应建立健全本单位安全奖惩工作机制，坚持依法合规、奖罚分明，制定（    ）实施办法，细化奖惩项目、标准，规范实施流程、职责，明确兑现方式、周期，及时开展安全奖惩并做好记录。,A-安全奖惩|B-安全监督|C-安全防控|D-安全治理,A
62,通用题库,01单选题,《国家电网有限公司安全工作奖惩规定》规定，公司按照企业负责人业绩考核有关规定，（    ）对省级公司及其领导班子成员安全工作情况进行考核。,A-每月|B-每季度|C-每年|D-每两年,C
63,通用题库,01单选题,发生事故各级单位的主要领导、分管领导依照《国家电网有限公司安全工作奖惩规定》规定，受到撤职处分的，自受处分之日起，（    ）年内不得担任公司所属生产经营单位的主要领导。,A-五|B-六|C-七|D-八,A
64,通用题库,01单选题,《国家电网公司安全工作奖惩规定》公司所属各级单位应建立健全（    ）机制，按照职责管理范围和安全责任，对安全工作情况进行考核，对发生事故的单位及责任人员进行处罚。,A-安全处罚|B-安全管理|C-分级处罚|D-奖惩管理,A
65,通用题库,01单选题,依据《国家电网有限公司安全事故调查规程》，发生八级人身、电网、设备和信息系统事件，应按资产关系或管理关系（    ）。,A-上报至上一级管理单位|B-直接上报公司总部|C-直接上报至省电力公司级单位|D-上报至同级管理单位,A
66,通用题库,01单选题,依据《国家电网有限公司安全事故调查规程》，公司系统各单位发生事故后，事故现场有关人员应当立即向（    ）或者电力调度机构值班人员报告。,A-本单位现场负责人|B-120|C-110|D-公司分管领导,A
67,通用题库,01单选题,依据《国家电网有限公司安全事故调查规程》，特别重大人身事故是指一次事故造成（    ）人以上死亡，或者100人以上重伤(包括生产性急性中毒)者。,A-3|B-10|C-30|D-50,C
68,通用题库,01单选题,依据《国家电网有限公司安全事故调查规程》，安全天数达到（    ）天为一个安全周期。,A-50|B-100|C-10|D-360,B
69,通用题库,01单选题,"依据《国家电网有限公司安全事故调查规程》,生产经营场所发生火灾为（    ）。",A-电网事件|B-设备事件|C-信息系统事件|D-人身事件,B
70,通用题库,01单选题,"依据《国家电网有限公司安全事故调查规程》,发生公司商密数据泄露、丢失或被窃取、篡改为（    ）。",A-电力监控事件|B-通信事件|C-信息系统事件|D-调控事件,C
71,通用题库,01单选题,《国家电网有限公司安全事故调查规程》指出：任何单位和个人（    ）发布事故信息。,A-可以|B-必须|C-不得擅自|D-视情况,C
72,通用题库,01单选题,依据《应急管理工作规定》，公司应急领导小组下设（    ）办公室和稳定应急办公室。,A-应急处置|B-事故救援|C-安全应急|D-事故调查,C
73,通用题库,01单选题,依据《应急管理工作规定》，（    ）是本单位应急工作第一责任人，对本单位的应急工作全面负责。,A-安监部负责人|B-党委书记|C-分管负责人|D-主要负责人,D
74,通用题库,01单选题,依据《应急管理工作规定》，应急救援人员经（    ）后，方可参加应急救援工作。,A-系统学习|B-培训合格|C-参与演练|D-上岗考试,B
75,通用题库,01单选题,依据《应急管理工作规定》，较大及以下突发事件，由（    ）负责处置，总部专项事件应急处置领导小组办公室跟踪事态发展。,A-应急救援基干分队|B-应急领导小组|C-专项应急领导小组|D-事发单位,D
76,通用题库,01单选题,依据《应急管理工作规定》，现场指挥部实行（    ）负责制，按照授权制定并实施现场应急救援方案，指挥、协调现场有关单位和个人开展应急救援。,A-应急救援基干分队队长|B-总指挥|C-单位分管领导|D-指挥长,B
77,通用题库,01单选题,2022年4月16日，国网四川电力眉山供电公司东坡区供电中心富牛供电所组织作业人员开展10千伏观土线绝缘化改造及消缺作业，工作小组共3名作业人员，分别为肖某某（小组负责人）、李某某（小组成员，死者）、杨某某（小组成员），10时50分，该小组完成观盛支线七处设备线夹更换作业后，乘坐由肖某某驾驶的车辆前往观土线30#杆，途中至10千伏观光线17#杆（运行线路）时，擅自扩大工作范围，组织开展观光线#17杆处设备线夹的更换工作，安排李某某更换线夹（非本次作业内容，为今年3月份开展的另一项由肖某某担任小组负责人的改造消缺项目遗留工作），李某某在未核对杆号牌的情况下登杆未验电，触电死亡，该事故暴露出的问题是：作业实施盲目、（）、专业管理粗放、安全意识不足、合规意识不强。,A-作业人员身体状况不好|B-现场组织无序|C-施工工器具管理不到位|D-作业人员安排不合理,B
78,通用题库,01单选题,2022年4月16日，国网四川电力眉山供电公司东坡区供电中心富牛供电所组织作业人员开展10千伏观土线绝缘化改造及消缺作业，工作小组共3名作业人员，分别为肖某某（小组负责人）、李某某（小组成员，死者）、杨某某（小组成员），10时50分，该小组完成观盛支线七处设备线夹更换作业后，乘坐由肖某某驾驶的车辆前往观土线30#杆，途中至10千伏观光线17#杆（运行线路），安排李某某更换线夹（非本次作业内容，为今年3月份开展的另一项由肖某某担任小组负责人的改造消缺项目遗留工作），李某某登杆未验电，触电死亡，该事故应吸取的主要教训叙述错误的是（）。,A-部分领导干部和管理人员安全责任不落实|B-对配（农）网小型分散作业风险管控不力|C-防误操作管理严重缺失|D-反违章工作力度层层衰减|E-对供电所安全投入保障、员工基础安全教育培训和农电员工的“同质化”管理需要进一步加强,C
79,专业题库,01单选题,依据变电安规，第一种工作票应在（    ）送达运维人员，可直接送达或通过传真、局域网传送，但传真传送的工作票许可应待正式工作票到达后履行。,A-工作当天|B-工作前一日|C-工作开工前|D-工作许可前,B
80,专业题库,01单选题,依据变电安规，变电站（发电厂）第二种工作票可采取电话许可方式，但应（    ），并各自作好记录。,A-汇报|B-双方确认|C-视频监控|D-录音,D
81,专业题库,01单选题,依据变电安规，专责监护人（    ）兼做其他工作。,A-可以|B-根据工作需要可|C-不得|D-在全部停电时可,C
82,专业题库,01单选题,依据变电安规，控制盘和低压配电盘、配电箱、电源干线上的工作应填用（    ）工作票。,A-第一种|B-第二种|C-电力电缆第二种|D-带电作业,B
83,专业题库,01单选题,依据变电安规，工作间断次日复工时，工作负责人应电话告知（    ），并重新认真检查确认安全措施是否符合工作票要求。,A-专责监护人|B-工作班成员|C-工作许可人|D-工作票签发人,C
84,专业题库,01单选题,依据变电安规，只有在同一停电系统的所有工作票都已终结，并得（    ）或运维负责人的许可指令后，方可合闸送电。,A-工作负责人|B-专责监护人|C-值班调控人员|D-工作票签发人,C
85,专业题库,01单选题,依据变电安规，总、分工作票在格式上与（　　）工作票一致。,A-事故紧急抢修单|B-第二种|C-第一种|D-带电作业,C
86,专业题库,01单选题,依据变电安规，第一种工作票所列工作地点超过两个，或有两个及以上不同的工作单位（班组）在一起工作时，可采用总工作票和分工作票。总、分工作票应由（    ）签发。,A-值班调控人员和工作票签发人|B-同一个工作票签发人|C-工作票签发人和工作负责人|D-不同的工作票签发人,B
87,专业题库,01单选题,依据变电安规，工作许可人在完成施工现场的安全措施后，会同工作负责人到现场（    ）安全措施，对具体的设备指明实际的隔离措施，证明检修设备确无电压。,A-分别做|B-共同做|C-了解|D-再次检查所做的,D
88,专业题库,01单选题,依据变电安规，若专责监护人必须长时间离开工作现场时，应由（　　）变更专责监护人，履行变更手续，并告知全体被监护人员。,A-工作票签发人|B-工作负责人|C-工作许可人|D-原专责监护人,B
89,专业题库,01单选题,依据变电安规，在原工作票的停电及安全措施范围内增加工作任务时，应由工作负责人征得工作票签发人和（　　）同意，并在工作票上增填工作项目。,A-值班调控人员|B-专责监护人|C-工作许可人|D-运维负责人,C
90,专业题库,01单选题,依据变电安规，工作票由设备运维管理单位签发，也可由经设备运维管理单位（    ）的检修及基建单位签发。,A-审核合格|B-授权|C-批准|D-审核合格且经批准,D
91,专业题库,01单选题,依据变电安规，（    ）、专责监护人应始终在工作现场，对工作班人员的安全认真监护，及时纠正不安全的行为。,A-工作负责人|B-工作许可人|C-工作票签发人|D-安监人员,A
