Unnamed: 0,题目分类,题型,题干,选项,答案
210,专业题库,01单选题,依据变电安规，无论高压设备是否带电，作业人员不得单独移开或越过遮栏进行工作；若有必要移开遮栏时，应有（    ）在场，并符合设备不停电时的安全距离。,A-安全员|B-监护人|C-负责人|D-班组长,B
211,专业题库,01单选题,依据变电安规，在高压设备上工作，应至少由（    ）进行，并完成保证安全的组织措施和技术措施。,A-一人|B-两人|C-三人|D-四人,B
212,专业题库,01单选题,依据变电安规，无论高压设备是否带电，作业人员不得单独移开或越过遮栏进行工作；若有必要移开遮栏时，应有监护人在场，并符合（    ）的安全距离。,A-设备停电时|B-设备不停电时|C-作业时|D-带电作业时,B
213,专业题库,01单选题,依据变电安规，高压设备发生接地时，室内人员应距离故障点（    ）m以外。,A-1|B-2|C-3|D-4,D
214,专业题库,01单选题,依据变电安规，待用间隔(母线连接排、引线已接上母线的备用间隔)应有（    ），并列入调度控制中心管辖范围。,A-名称|B-编号|C-名称、编号|D-名称|E-序号,C
215,专业题库,01单选题,依据变电安规，高压设备发生接地时，室外人员应距离故障点（    ）m以外。,A-2|B-4|C-6|D-8,D
216,专业题库,01单选题,依据变电安规，户外220kV高压配电装置场所的行车通道上，车辆（包括装载物）外廓至无遮拦带电部分之间的安全距离为（    ）m。,A-2.55|B-2.35|C-2.25|D-1.75,A
217,专业题库,01单选题,依据变电安规，运行中的高压设备，其中性点接地系统的中性点应视作（    ）。,A-带电体|B-停电设备|C-检修设备|D-试验设备,A
218,专业题库,01单选题,依据变电安规，在高压设备上工作，应至少由两人进行，并完成保证安全的（    ）。,A-技术措施和应急措施|B-组织措施和现场措施|C-组织措施和技术措施|D-应急措施和现场措施,C
219,专业题库,01单选题,依据变电安规，雷雨天气，需要巡视室外高压设备时，应穿（    ），并不准靠近避雷器和避雷针。,A-雨鞋|B-绝缘靴|C-橡胶鞋|D-绝缘鞋,B
220,专业题库,01单选题,依据变电安规，换流站阀厅未转（　　）前，人员禁止进入作业（巡视通道除外）。,A-运行|B-检修|C-冷备用|D-热备用,B
221,专业题库,01单选题,依据变电安规，待用间隔(母线连接排、引线已接上母线的备用间隔)应有名称、编号，并列入调度控制中心管辖范围。其隔离开关(刀闸)操作手柄、网门应（    ）。,A-加锁|B-悬挂标示牌|C-设遮拦|D-不再加锁,A
222,专业题库,01单选题,依据变电安规，换流站内，运行中高压直流系统直流场中性区域设备、站内临时接地极、接地极线路及接地极均应视为（　　）。,A-非带电体|B-带电体|C-部分带电体|D-绝缘体,B
223,专业题库,01单选题,依据变电安规，地震、台风、洪水、泥石流等灾害发生后，如需要对设备进行巡视时，应制定必要的安全措施，得到（    ）批准，并至少两人一组，巡视人员应与派出部门之间保持通信联络。,A-调控人员|B-设备运维管理单位|C-安监部门|D-分管领导,B
224,专业题库,01单选题,依据变电安规，触电急救，胸外心脏按压频率应保持在（　　）次/min。,A-60|B-80|C-100|D-120,C
225,专业题库,01单选题,依据变电安规，触电伤员脱离电源后，正确的抢救体位是（　　）。,A-左侧卧位|B-右侧卧位|C-仰卧位|D-俯卧位,C
226,专业题库,01单选题,依据变电安规，触电急救应分秒必争，一经明确心跳、呼吸停止的，立即就地迅速用（　　）进行抢救，并坚持不断地进行，同时及早与医疗急救中心（医疗部门）联系，争取医务人员接替救治。,A-心脏按压法|B-口对口呼吸法|C-口对鼻呼吸法|D-心肺复苏法,D
227,专业题库,01单选题,依据变电安规，触电急救脱离电源，就是要把触电者接触的那一部分带电设备的（　　）断路器（开关）、隔离开关（刀闸）或其他断路设备断开；或设法将触电者与带电设备脱离开。,A-有关|B-所有|C-高压|D-低压,B
228,专业题库,01单选题,依据变电安规，紧急救护时，发现伤员意识不清、瞳孔扩大无反应、呼吸、心跳停止时，应立即在现场就地抢救，用（　　）支持呼吸和循环，对脑、心重要脏器供氧。,A-心脏按压法|B-口对口呼吸法|C-口对鼻呼吸法|D-心肺复苏法,D
229,专业题库,01单选题,依据变电安规，进行心肺复苏法时，如有担架搬运伤员，应该持续做心肺复苏，中断时间不超过（　　）s。,A-5|B-10|C-30|D-60,A
230,专业题库,01单选题,依据变电安规，触电急救，当采用胸外心脏按压法进行急救时，伤员应仰卧于（　　）上。,A-柔软床垫|B-硬板床或地|C-担架|D-弹簧床,B
231,专业题库,01单选题,依据变电安规，触电急救，在医务人员（　　）前，不得放弃现场抢救，更不能只根据没有呼吸或脉搏的表现，擅自判定伤员死亡，放弃抢救。,A-未到达|B-未接替救治|C-作出死亡诊断|D-判断呼吸或脉搏表现,B
232,专业题库,01单选题,依据变电安规，SF6配电装置室与其下方电缆层、电缆隧道相通的孔洞都应封堵.SF6配电装置室及下方电缆层隧道的门上，应设置“（    ）”的标志。,A-注意危险|B-严禁烟火|C-注意通风|D-禁止吸烟,C
233,专业题库,01单选题,依据变电安规，在SF6配电装置室低位区应安装能报警氧量仪和SF6气体泄漏报警仪，在工作人员入口处应装设显示器.上述仪器应（    ），保证完好。,A-定期检验|B-不定期检验|C-专人巡视检查|D-定期更换,A
234,专业题库,01单选题,依据变电安规，设备内的SF6气体不准向大气排放，应采取净化装置回收，经处理检测合格后方准再使用。回收时作业人员应站在（    ）。,A-上风侧|B-下风侧|C-设备上方|D-设备下方,A
235,专业题库,01单选题,依据变电安规，在SF6配电装置室低位区应安装（    ），在工作人员入口处应装设显示器。,A-氧量仪和SF6气体泄漏报警仪|B-氧量仪和SF6气体泄漏测试仪|C-能报警的氧量仪和SF6气体泄漏报警仪|D-能显示含氧量的氧量仪和SF6气体泄漏报警仪,C
236,专业题库,01单选题,依据变电安规，在室内，设备充装SF6气体时，工作区空气中SF6气体含量不得超过（    ）μL/L。,A-1000|B-1100|C-1200|D-1300,A
237,专业题库,01单选题,依据变电安规，在室内，设备充装SF6气体时，周围环境相对湿度应不大于（    ），同时应开启通风系统，并避免SF6气体泄漏到工作区。,A-80%|B-85%|C-90%|D-95%,A
238,专业题库,01单选题,依据变电安规，SF6配电装置发生大量泄漏等紧急情况时，人员应迅速撤出现场，开启所有排风机进行排风。未佩戴（    ）人员禁止入内。,A-防毒面具或口罩|B-防毒面具或正压式空气呼吸器|C-口罩或正压式空气呼吸器|D-护目眼镜或正压式空气呼吸器,B
239,专业题库,01单选题,依据变电安规，工作人员进入SF6配电装置室，入口处若无SF6气体含量显示器，应先通风（    ）min，并用检漏仪测量SF6气体含量合格。,A-8|B-10|C-12|D-15,D
240,专业题库,01单选题,依据变电安规，装有SF6设备的配电装置室和SF6气体实验室，应装设强力通风装置，风口应设置在室内（    ），排风口不应朝向居民住宅或行人。,A-顶部|B-底部|C-中部|D-上部,B
241,专业题库,01单选题,依据变电安规，SF6配电装置发生防爆膜破裂时，应停电处理，并用（    ）擦拭干净。,A-汽油或丙酮|B-煤油或丙酮|C-汽油或酒精|D-汽油或香蕉水,A
242,专业题库,01单选题,依据变电安规，SF6设备解体检修，打开设备封盖后，现场所有人员应暂离现场（    ）min。,A-30|B-20|C-15|D-10,A
243,专业题库,01单选题,依据变电安规，进行气体采样和处理一般渗漏时，要戴（    ）并进行通风。,A-防毒面具或口罩|B-口罩或正压式空气呼吸器|C-防毒面具或正压式空气呼吸器|D-护目眼镜或正压式空气呼吸器,C
244,专业题库,01单选题,依据变电安规，单人操作、检修人员在倒闸操作过程中（　　）解锁。,A-可以|B-禁止|C-在有人监护情况下|D-站长同意后,B
245,专业题库,01单选题,依据变电安规，检修人员操作时，操作票应由（　　）审核签名，然后才能使用。,A-运维负责人|B-工作负责人|C-班站长|D-技术员,B
246,专业题库,01单选题,依据变电安规，经设备运维管理单位考试合格并批准的本单位的检修人员，可进行（    ）及以下的电气设备由热备用至检修或由检修至热备用的监护操作，监护人应是同一单位的检修人员或设备运维人员。,A-220kV|B-330kV|C-500kV|D-750kV,A
247,专业题库,01单选题,依据变电安规，在低压配电装置和低压导线上工作，作业前，应先分清相线、零线，选好工作位置。断开导线时，应（    ）。搭接导线时，顺序应相反。,A-先断开相线，后断开零线|B- 先断开零线，后断开相线|C-同时断开相线和零线|D-先断开中相，后断开边相,A
248,专业题库,01单选题,依据变电安规，停电更换熔断器后，恢复操作时，应（    ）。,A-戴手套|B-戴护目眼镜|C-戴手套和护目眼镜|D-穿防电弧服,C
249,专业题库,01单选题,依据变电安规，低压带电工作时，应采取遮蔽（    ）等防止相间或接地短路的有效措施；若无法采取遮蔽措施时，则将影响作业的有电设备停电。,A-导体部分|B-有电部分|C-停电部分|D-金属部分,B
250,专业题库,01单选题,依据变电安规，低压电气带电工作应（    ），并保持对地绝缘。,A-戴手套|B-戴护目眼镜|C-戴手套、护目眼镜|D-戴手套、穿防电弧服,C
251,专业题库,01单选题,依据变电安规，工作前应详细核对电缆标志牌的（    ）与工作票所填写的相符，安全措施正确可靠后，方可开始工作。,A-名称|B-编号|C-走向|D-型号,A
252,专业题库,01单选题,依据变电安规，进入电缆井、电缆隧道前，应先用吹风机排除浊气，再用（　　）检查井内或隧道内的易燃易爆及有毒气体的含量是否超标，并作好记录。,A-气体检测仪|B-仪表|C-小动物|D-明火,A
253,专业题库,01单选题,依据变电安规，填用电力电缆第一种工作票的工作应该经（　　）许可。,A-运维人员|B-调控人员|C-工区领导|D-工作负责人,B
254,专业题库,01单选题,依据变电安规，电力电缆试验要拆除接地线时，应征得（    ）的许可（根据调控人员指令装设的接地线，应征得调控人员的许可），方可进行。,A-工作许可人|B-工作负责人|C-工作票签发人|D-试验小组负责人,A
255,专业题库,01单选题,依据变电安规，电缆直埋敷设施工前应先查清（    ），再开挖足够数量的样洞和样沟，摸清地下管线分布情况，以确定电缆敷设位置及确保不损坏运行电缆和其他地下管线。,A-图纸|B-电缆运行记录|C-历史资料|D-电缆出厂资料,A
256,专业题库,01单选题,依据变电安规，在开断电缆以前，应与电缆走向图图纸核对相符，并使用专用仪器（如感应法）确切证实电缆无电后，用（    ）钉入电缆芯后，方可工作。,A-带绝缘柄的铁钎|B-接地的铁钎|C-接地的带绝缘柄的铁钎|D-接地的带手柄的铁钎,C
257,专业题库,01单选题,依据变电安规，在10kV跌落式熔断器上桩头有电的情况下，如必须进行工作，则应采用专用绝缘罩隔离，在下桩头加装接地线。作业人员站在低位，伸手不得超过跌落式熔断器（　　），并设专人监护。,A-上桩头|B-中间位置|C-下桩头|D-横担位置,C
258,专业题库,01单选题,依据变电安规，在10kV跌落式熔断器与10kV电缆头之间，宜加装（　　）装置，使工作时能与跌落式熔断器上桩头有电部分保持安全距离。,A-过渡连接|B-接地|C-绝缘|D-灭弧,A
259,专业题库,01单选题,依据变电安规，电力电缆作业，使用远控电缆割刀开断电缆时，刀头应（    ），周边其他施工人员应临时撤离，远控操作人员应与刀头保持足够的安全距离，防止弧光和跨步电压伤人。,A-可靠绝缘|B-可靠接地|C-装设护套|D-垂直向下,B
260,专业题库,01单选题,依据变电安规，移动电缆接头一般应停电进行。如必须带电移动，应先调查该电缆的历史记录，由有经验的施工人员，在（    ）下，平正移动。,A-专人统一指挥|B-专人监护|C-监护|D-作业人员的指挥,A
261,专业题库,01单选题,依据变电安规，使用砂轮研磨时，应（    ）。,A-穿绝缘鞋|B-戴防护眼镜或装设防护玻璃|C-戴绝缘手套|D-穿防电弧服,B
262,专业题库,01单选题,依据变电安规，使用金属外壳的电气工具时应戴（    ）。,A-线手套|B-绝缘手套|C-口罩|D-护目眼镜,B
263,专业题库,01单选题,依据变电安规，凿子被锤击部分（    ）等，不准使用。,A-有伤痕不平整、沾有油污|B-有伤痕不平整|C-有锈蚀|D-沾有油污,A
264,专业题库,01单选题,依据变电安规，用凿子凿坚硬或脆性物体时（如生铁、生铜、水泥等），应戴（    ），必要时装设安全遮栏，以防碎片打伤旁人。,A-口罩|B-耳罩|C-防护眼镜|D-防毒面具,C
265,专业题库,01单选题,依据变电安规，对正常使用的电动工具也应对绝缘电阻进行（    ）。,A-定期测量、检查|B-不定期测量、检查|C-不定期检查|D-不定期测量,A
266,专业题库,01单选题,依据变电安规，电动工具的电气部分经维修后，应进行（    ）。,A-绝缘电阻测量及绝缘耐压试验|B-绝缘电阻测量|C-绝缘耐压试验|D-绝缘电阻测量或绝缘耐压试验,A
267,专业题库,01单选题,依据变电安规，在变、配电站（开关站）的带电区域内或邻近带电线路处，禁止使用（    ）。,A-绝缘梯子|B-金属梯子|C-竹梯子|D-木梯子,B
268,专业题库,01单选题,依据变电安规，用汽车运输气瓶时，气瓶押运人员应坐在（    ）。,A-车厢内|B-驾驶室内|C-气瓶上|D-气瓶旁边,B
269,专业题库,01单选题,依据变电安规，遇有电气设备着火时，应立即将有关设备的（    ），然后进行救火。,A-保护停用|B-电源切断|C-外壳接地|D-重合闸退出,B
270,专业题库,01单选题,依据变电安规，在户外变电站和高压室内搬动梯子、管子等长物，应（    ）搬运，并与带电部分保持足够的安全距离。,A-两人直立|B-两人|C-一人|D-两人放倒,D
271,专业题库,01单选题,依据变电安规，在楼板和结构上打孔或在规定地点以外安装起重滑车或堆放重物等，应事先经过本单位有关（    ）的审核许可。规定放置重物及安装滑车的地点应标以明显的标记（标出界限和荷重限度）。,A-设备运维部门|B-安监部门|C-技术部门|D-分管领导,C
272,专业题库,01单选题,依据变电安规，移动式电动机械和手持电动工具的三相电源线在三相四线制系统中应使用（    ）芯软橡胶电缆。,A-二|B-三|C-四|D-五,C
273,专业题库,01单选题,依据变电安规，检修动力电源箱的支路开关都应加装剩余电流动作保护器（漏电保护器）并应（    ）。,A-定期检查和试验|B-定期检查|C-定期试验|D-不定期检查和试验,A
274,专业题库,01单选题,依据变电安规，砂轮应装有用（    ）制成的防护罩，其强度应保证当砂轮碎裂时挡住碎块。,A-木板|B-钢板|C-铝塑板|D-树脂板,B
275,专业题库,01单选题,依据变电安规，电气工具和用具应由专人保管，每（    ）应由电气试验单位进行定期检查。,A-3个月|B-6个月|C-9个月|D-12个月,B
276,专业题库,01单选题,依据变电安规，直流输电系统正常运行时，人员进入阀厅巡视走道宜（    ）。,A-佩戴护目镜|B-佩戴耳罩|C-穿防电弧服|D-穿防静电服,B
277,专业题库,01单选题,依据变电安规，用砂轮磨工具时应使火星（    ）。不准用砂轮的侧面研磨。,A-向下|B-向上|C-向前|D-向后,A
278,专业题库,01单选题,依据变电安规，变电站(生产厂房)内外工作场所的井、坑、孔、洞或沟道，应覆以与地面齐平而坚固的盖板。在检修工作中如需将盖板取下，应设（    ）。,A-障碍物|B-临时围栏|C-脚手架|D-标示牌,B
279,专业题库,01单选题,依据变电安规，用汽车运输气瓶时，气瓶应（    ）放置并可靠固定。,A-纵向|B-横向|C-竖立|D-水平,B
280,专业题库,01单选题,依据变电安规，大锤及手锤的柄应用（    ）制成，不准用大木料劈开制作，也不能用其他材料替代，应装得十分牢固，并将头部用楔栓固定。,A-整根的硬木|B-成型的橡胶|C-坚硬的金属|D-成型的树脂,A
281,专业题库,01单选题,依据变电安规，移动式电动机械和手持电动工具的单相电源线应使用（    ）芯软橡胶电缆。,A-二|B-三|C-四|D-五,B
282,专业题库,01单选题,依据变电安规，动火工作票签发人不准兼任该项工作的（    ）。,A-专责监护人|B-工作许可人|C-工作负责人|D-工作班成员,C
283,专业题库,01单选题,依据变电安规，动火工作票一般至少一式三份，一份由工作负责人收执、一份由（    ）收执、一份保存在安监部门（或具有消防管理职责的部门）（指变电站一级动火工作票）或动火部门（指变电站二级动火工作票）。,A-运维许可人|B-动火执行人|C-消防监护人|D-技术负责人,B
284,专业题库,01单选题,依据变电安规，电焊机的外壳应可靠接地，接地电阻不得大于（    ）。,A-4Ω|B-6Ω|C-8Ω|D-10Ω,A
285,专业题库,01单选题,依据变电安规，电气工具和用具的电线不准接触（    ），不要放在湿地上，并避免载重车辆和重物压在电线上。,A-人体|B-导电体|C-带电体|D-热体,D
286,专业题库,01单选题,依据变电安规，在特殊情况下需在带压和带电的设备上进行焊接时，应采取安全措施，并经（    ）批准。,A-工作许可人|B-工作票签发人|C-运维负责人|D-本单位分管生产的领导（总工程师）,D
287,专业题库,01单选题,依据变电安规，使用中的氧气瓶和乙炔气瓶应垂直固定放置，氧气瓶和乙炔气瓶的距离不得小于5m，气瓶的放置地点应距明火（    ）以外。,A-5m|B-6m|C-8m|D-10m,D
288,专业题库,01单选题,依据变电安规，在变电站内使用起重机械时，应安装接地装置，接地线应用多股软铜线，其截面应满足接地短路容量的要求，但不得小于（    ）mm2。,A-16|B-14|C-12|D-10,A
289,专业题库,01单选题,依据变电安规，起重机停放或行驶时，其车轮、支腿或履带的前端或外侧与沟、坑边缘的距离不准小于沟、坑深度的（    ）倍；否则应采取防倾、防坍塌措施。,A-0.9|B-1.0|C-1.1|D-1.2,D
290,专业题库,01单选题,依据变电安规，在变电站内使用起重机械时，应安装接地装置，接地线应用（    ），其截面应满足接地短路容量的要求，但不得小于16mm2。,A-单股铜线|B-多股软铜线|C-多股铝绞线|D-单股铝线,B
291,专业题库,01单选题,依据变电安规，起吊重物前，应由（    ）检查悬吊情况及所吊物件的捆绑情况，认为可靠后方准试行起吊。,A-工作班成员|B-工作负责人|C-工作许可人|D-吊车司机,B
292,专业题库,01单选题,依据变电安规，使用油压式千斤顶时，任何人不得站在安全栓的（    ）。,A-前面|B-后面|C-左面|D-右面,A
293,专业题库,01单选题,依据变电安规，一切重大物件的起重、搬运工作应由（    ）负责，作业前应向参加工作的全体人员进行技术交底，使全体人员均熟悉起重搬运方案和安全措施。,A-安全员|B-技术员|C-有经验的专人|D-专责监护人,C
294,专业题库,01单选题,依据变电安规，用起重机械应当在（    ）进行一次常规性检查，并做好记录。其中机械每年至少应做一次全面技术检查。,A-每周|B-每次使用后|C-每次使用前|D-每月,C
295,专业题库,01单选题,依据变电安规，起重工作中，重量达到起重设备额定负荷的（    ）及以上。应制定专门的安全技术措施，经本单位批准，作业时应有技术负责人在场指导，否则不准施工。,A-90%|B-80%|C-70%|D-85%,A
296,专业题库,01单选题,依据变电安规，在带电设备区域内使用汽车吊、斗臂车时，车身应使用不小于（    ）mm2的软铜线可靠接地。在道路上施工应设围栏，并设置适当的警示标志牌。,A-10|B-12|C-16|D-15,C
297,专业题库,01单选题,依据变电安规，起重机上应备有灭火装置，驾驶室内应铺橡胶绝缘垫，禁止存放（    ）。,A-食品|B-医疗物品|C-生活用品|D-易燃物品,D
298,专业题库,01单选题,依据变电安规，安全带应定期检验，检验周期为（    ）。,A-半年|B-1年|C-2年|D-1年半,B
299,专业题库,01单选题,依据变电安规，凡在坠落高度基准面（    ）以上（含2m），有可能坠落的高处进行的作业均称为高处作业。,A-0.7m|B-1.0m|C-1.5m|D-2.0m,D
300,专业题库,01单选题,依据变电安规，使用倚靠式单梯工作时，梯子与地面的夹角应在（  ）之间并有人扶持，以防失稳坠落。,A-40°-50°|B-50°-55°|C-65°-75°|D-80°-85°,C
301,专业题库,01单选题,依据变电安规，硬质梯子的横档应嵌在支柱上，梯阶的距离不应大于（    ），并在距梯顶1m处设限高标志。,A-30cm|B-40cm|C-45cm|D-50cm,A
302,专业题库,01单选题,依据变电安规，高处作业人员，应经专业技能培训并依法取得资格证书；（   ）应至少进行一次职业健康检查，凡患有不宜从事高处作业病症的人员，不得参加高处作业。,A-2年|B-1年|C-3年|D-4年,B
303,专业题库,01单选题,依据变电安规，在没有脚手架或者在没有围栏的脚手架上工作，高度超过（    ）时，应使用安全带，或采取其他可靠的安全措施。,A-1.5m|B-1.2m|C-1.0m|D-0.8m,A
304,专业题库,01单选题,依据变电安规，利用高空作业车、带电作业车、高处作业平台等进行高处作业时，高处作业平台应处于稳定状态，需要移动车辆时，作业平台上（   ）（制造规定允许的除外）。,A-载人不得超2人|B-不得留有工具|C-不得载物|D-不得载人,D
305,专业题库,01单选题,依据《安全设施标准》，安全色中的（    ）传递禁止、停止、危险或提示消防设备、设施的信息。,A-红色|B-绿色|C-蓝色|D-黄色,A
306,专业题库,01单选题,依据《安全设施标准》，安全色中的（    ）传递必须遵守规定的指令性信息。,A-红色|B-绿色|C-蓝色|D-黄色,C
307,专业题库,01单选题,依据《安全设施标准》，变电站内生产活动所涉及的场所、设备（设施）、检修施工等特定区域以及其它有必要提醒人们注意危险有害因素的地点，应配置标准化的（  ）。,A-安全设施|B-安全标识牌|C-安全围栏|D-安全工器具,A
308,专业题库,01单选题,依据《安全设施标准》，高压供电设备、发电机、落地式安装的转动机械周围以及控制台、配电盘柜前应标设（    ）。,A-防误触设施|B-安全标识牌|C-安全围栏|D-安全警戒线,D
309,专业题库,01单选题,依据《安全设施标准》，工作人员进人生产现场，应根据作业环境中所存在的危险因素，穿戴或使用必要的（    ）。,A-安全工器具|B-防护用品|C-施工器具|D-劳保用品,B
310,专业题库,01单选题,依据《安全设施标准》，在有可能发生触电危险的电气设备和线路，如配电装置室、开关等处应设置（    ）。,A-“当心触电”标志牌|B-“止步高压危险”标志牌|C-“当心火灾”标志牌|D-“当心爆炸”标志牌,A
311,专业题库,01单选题,依据《安全设施标准》，在变压器室、乙炔站、化工药品库、油库、配电装置室、电子设备间、通信室等处，应设置（    ）。,A-“禁止穿化纤服装”标志牌|B-“禁止停留”标志牌|C-“禁止用水灭火”标志牌|D-“禁止触摸”标志牌,C
312,专业题库,01单选题,依据《安全设施标准》，在人口密集或交通繁忙区域施工，应根据环境设置必要的（    ）。,A-安全警示牌|B-注意行人标志|C-在此工作标志|D-交通安全标志,D
313,专业题库,01单选题,依据《安全设施标准》，各生产场所应有（    ）的标示，楼梯主要通道门上方或左（右）侧装设紧急撤离提示标志。,A-消防器械|B-应急装备|C-逃生路线|D-安全路线,C
314,专业题库,01单选题,依据《安全设施标准》，流动式起重机械基本臂两侧应标注醒目的（    ）的文字标志。,A-起重臂承重|B-起重臂下严禁站人|C-作业半径内注意安全|D-起重臂最大开合角度,B
315,专业题库,01单选题,根据两票三制规定，检修（施工）作业，（    ）认为有必要现场勘察的，检修（施工）单位应根据工作任务组织现场勘察，并填写现场勘察记录。,A-工作票签发人或工作负责人|B-工作票签发人或工作许可人|C-工作许可人或工作负责人|D-工作票签发人或专责监护人,A
316,专业题库,01单选题,根据两票三制规定，未造成电气设备被迫停运的缺陷处理工作不得使用事故紧急抢修单，而应使用（    ）。,A-工作票|B-事故紧急抢修单|C-施工作业票|D-工作任务单,A
317,专业题库,01单选题,倒闸操作，要有（    ），运维负责人正式发布的指令，并使用经事先审核合格的操作票。,A-工作许可人|B-工作负责人|C-工作票签发人|D-值班调控人员,D
318,专业题库,01单选题,根据两票三制规定，工作票一份应保存在工作地点，由（    ）收执；另一份由工作许可人收执，按值移交。,A-工作票签发人|B-专责监护人|C-工作负责人|D-变电运维负责人,C
319,专业题库,01单选题,根据两票三制规定，总、分工作票原则上由（    ）签发。,A-值班调控人员和工作票签发人|B-同一个工作票签发人|C-工作票签发人和工作负责人|D-不同的工作票签发人,B
320,专业题库,01单选题,根据两票三制规定，承发包工程中，工作票可实行“双签发”形式。签发工作票时，双方工作票签发人在工作票上分别签名，各自承担相应的（    ）。,A-施工方案|B-组织措施|C-技术措施|D-安全责任,D
321,专业题库,01单选题,根据两票三制规定，非连续进行的故障修复工作，应使用（    ）。,A-故障紧急抢修单|B-工作票|C-施工作业票|D-故障应急抢修单,B
322,专业题库,01单选题,根据两票三制规定，若需变更或增设（    ），应填用新的工作票，并重新履行签发、许可手续。,A-安全条件|B-施工范围|C-工作任务|D-安全措施,D
323,专业题库,01单选题,根据两票三制规定，总、分工作票在格式上与（    ）工作票一致。,A-第一种|B-第二种|C-带电作业|D-事故紧急抢修单,A
324,专业题库,01单选题,作业安全风险管控应遵循（    ）的工作原则。,A-“全面评估、分级管控”|B-“分级评估、全面管控”|C-“全面评估、专业管控”|D-“专业评估、全面管控”,A
325,专业题库,01单选题,作业计划实行（    ）管理，审定后的作业计划均应统一在平台内进行发布，已发布的作业计划严禁随意增减，确属特殊情况需追加、调整的，应严格履行本单位计划调整审批手续。,A-柔性|B-弹性|C-刚性|D-线性,C
326,专业题库,01单选题,作业风险定级应以每日作业计划为单元进行，同一作业计划内包含多个不同等级工作或不同类型的风险时，按（    ）原则定级。,A-就低|B-就高|C-任意|D-随机,B
327,专业题库,01单选题,按照（    ）原则，地市（县）公司级单位、二级机构以审定的作业计划、风险内容、风险等级、管控措施为依据，每周日前对下周作业计划存在的所有作业风险进行全面公示。,A-“谁管理、谁公示”|B-“谁作业、谁公示”|C-“谁监管、谁公示”|D-“谁监理、谁公示”,A
328,专业题库,01单选题,采取劳务外包或劳务分包的项目，所需施工作业安全方案、工作票（作业票）、机具设备及工器具等应由发包方负责，并纳入本单位（    ）统一进行作业的组织、指挥、监护和管理。,A-项目|B-班组|C-档案|D-计划,B
329,专业题库,01单选题,劳务人员（    ）独立承担危险性大、专业性强的施工作业，必须在发包方有经验人员的带领和监护下进行。,A-允许|B-经审批|C-不得|D-经监护,C
330,专业题库,01单选题,除紧急抢险、故障抢修等特殊情况外，进场施工承包单位必须严格执行（    ）管控工作要求，承包单位不履行报备程序一律不允许进场施工作业。,A-“先进场、后报备”|B-“先报备、后进场”|C-“先申请、后进场”|D-“先审批、后进场”,B
331,专业题库,01单选题,以下哪项不是为了监督外包作业安全、技术、组织措施的落实，保障外包作业现场施工的安全和质量应执行的制度（    ）。,A-“双勘察”|B-“双交底”|C-“双签发”|D-“双许可”,D
332,专业题库,01单选题,“一表一库”是指（    ）。,A-作业风险分级表和检修工序风险库|B-作业风险分级表和人员档案库|C-设备检修工序表和检修工序风险库|D-设备检修工序表和人员档案库,A
333,专业题库,01单选题,"依据严重违章释义，未及时传达学习国家、公司安全工作部署，未及时开展公司系统安全事故（事件）通报学习、安全日活动等,属于（    ）违章。",A-Ⅰ类严重违章|B-Ⅱ类严重违章|C-Ⅲ类严重违章|D-一般违章,B
334,专业题库,01单选题,依据严重违章释义，针对公司通报的安全事故事件、要求开展的隐患排查，未举一反三组织排查；未建立隐患排查标准，分层分级组织排查的，属于（    ）违章。,A-Ⅰ类严重违章|B-Ⅱ类严重违章|C-Ⅲ类严重违章|D-一般违章,B
