Unnamed: 0,题目分类,题型,题干,选项,答案
423,通用题库,02多选题,"2022年11月21日16时许，河南省安阳市文峰区安阳市凯信达商贸有限公司发生特别重大火灾事故，造成42人死亡、2人受伤，直接经济损失12311万元。综合调查询问,认定事故直接原因( ).",A-无证违法违规电焊作业|B-建筑内部分消防设施缺失或失效|C-建筑违规分隔加大安全风险|D-未及时有效组织疏散撤离,ABCD
424,专业题库,02多选题,依据变电安规，工作票由（    ）填写。,A-工作负责人|B-工作许可人|C-工作班成员|D-工作票签发人,AD
425,专业题库,02多选题,依据变电安规，供电单位或施工单位到用户变电站内施工时，工作票应由有权签发工作票的（    ）签发。,A-用户单位|B-施工单位|C-供电单位|D-安监部门,ABC
426,专业题库,02多选题,依据变电安规，在工作间断期间，若有紧急需要，运维人员可在工作票未交回的情况下合闸送电，但应先通知工作负责人，在得到工作班全体人员已经离开工作地点、可以送电的答复后方可执行，并应采取下列（    ）措施。,A-拆除临时遮栏、接地线和标示牌|B-恢复常设遮栏，换挂“止步，高压危险！”的标示牌|C-应在所有道路派专人守候，以便告诉工作班人员“设备已经合闸送电，不得继续工作|D-守候人员在工作票未交回以前，不得离开守候地点,ABCD
427,专业题库,02多选题,依据变电安规，工作票签发人应是（　　）的生产领导人、技术人员或经本单位批准的人员。,A-熟悉工作班成员的工作能力|B-熟悉人员技术水平|C-熟悉设备情况|D-熟悉本规程,BCD
428,专业题库,02多选题,依据变电安规，工作许可手续完成后，工作负责人、专责监护人应向工作班成员交待（　　），进行危险点告知，并履行确认手续，工作班方可开始工作。,A-工作内容|B-人员分工|C-带电部位|D-现场安全措施,ABCD
429,专业题库,02多选题,依据变电安规，若工作间断后所有（    ）保持不变，作业票可由工作负责人执存。,A-安全措施|B-工作时间|C-接线方式|D-工作班成员,AC
430,专业题库,02多选题,依据变电安规，工作票可由（    ）签发。,A-经设备运维管理单位审核合格且经批准的检修单位|B-设备运维管理单位|C-电力调度控制中心|D-经设备运维管理单位审核合格且经批准的基建单位,ABD
431,专业题库,02多选题,依据变电安规，以下属于专责监护人的安全责任是（　　）。,A-负责检查工作票所列安全措施是否正确完备，是否符合现场实际条件，必要时予以补充|B-确认被监护人员和监护范围|C-工作前，对被监护人员交待监护范围内的安全措施、告知危险点和安全注意事项|D-监督被监护人员遵守本规程和现场安全措施，及时纠正被监护人员的不安全行为,BCD
432,专业题库,02多选题,依据变电安规，第一种工作票应在工作前一日预先送达运维人员，可（    ）。但传真传送的工作票许可应待正式工作票到达后履行。,A-直接送达|B-通过传真传送|C-通过电话传达|D-通过局域网传送,ABD
433,专业题库,02多选题,依据变电安规，第一种工作票（    ）时，可采用总工作票和分工作票。,A-所列工作地点超过两个|B-有两个及以上不同的工作单位（班组）在一起工作|C-工作时间较长|D-工作人数较多,AB
434,专业题库,02多选题,依据变电安规，在原工作票的停电及安全措施范围内增加工作任务时，应由工作负责人征得（    ）同意，并在工作票上增填工作项目。,A-工作票签发人|B-单位主管领导|C-工作许可人|D-值班调控人员,AC
435,专业题库,02多选题,依据变电安规，工作终结后，还需完成以下（    ）工作，工作票方告终结。,A-拆除工作票上的临时遮栏|B-取下标示牌|C-拆除常设遮栏|D-未拆除的接地线、未拉开的接地刀闸（装置）等设备运行方式汇报调控人员,ABD
436,专业题库,02多选题,依据变电安规，在电气设备上工作，保证安全的组织措施有（    ）。,A-现场勘察制度|B-工作票制度|C-工作许可制度|D-停电、验电、接地,ABC
437,专业题库,02多选题,依据变电安规，持线路或电缆工作票进入变电站或发电厂升压站进行架空线路、电缆等工作，应增填工作票份数，由变电站或发电厂工作许可人许可，并留存。上述单位的（    ）名单应事先送有关运维单位备案。,A-工作票签发人|B-工作负责人|C-工作班成员|D-专责监护人,AB
438,专业题库,02多选题,依据变电安规，检修工作结束以前，若需将设备试加工作电压，应按下列（    ）条件进行：,A-全体作业人员撤离工作地点|B-将该系统的所有工作票全部终结|C-拆除临时遮栏、接地线和标示牌，恢复常设遮栏|D-应在工作负责人和运维人员进行全面检查无误后，由运维人员进行加压试验,ACD
439,专业题库,02多选题,依据变电安规，关于现场人员变更，下列说法正确的是（    ）。,A-工作负责人允许变更一次|B-非特殊情况不得变更工作负责人|C-变更工作班成员时，应经工作票签发人同意|D-原、现工作负责人应对工作任务和安全措施进行交接,ABD
440,专业题库,02多选题,依据变电安规，在原工作票的停电及安全措施范围内增加工作任务时，应（    ）。,A-由工作负责人征得工作班成员同意|B-由工作负责人征得工作票签发人和工作许可人同意|C-在工作票上增填工作项目|D-在工作票上增填安全措施,BC
441,专业题库,02多选题,依据变电安规，专责监护人不得兼做其他工作。专责监护人临时离开时，应通知被监护人员（    ），待专责监护人回来后方可恢复工作。,A-注意安全|B-停止工作|C-离开工作现场|D-相互监督,BC
442,专业题库,02多选题,依据变电安规，工作许可人在完成施工现场的安全措施后，还应完成（　　）手续，工作班方可开始工作。,A-交代工作负责人到现场再次检查所做的安全措施|B-对具体的设备指明实际的隔离措施，证明检修设备确无电压|C-对工作负责人指明带电设备的位置和注意事项|D-和工作负责人在工作票上分别确认、签名,BCD
443,专业题库,02多选题,依据变电安规，工作票签发人的安全责任有（    ）。,A-确认工作必要性和安全性|B-确认工作票上所填安全措施是否正确完备|C-确认所派工作负责人和工作班人员是否适当和充足|D-确认工作班成员的工作能力,ABC
444,专业题库,02多选题,依据变电安规，在同一电气连接部分用同一张工作票依次在几个工作地点转移工作时，工作负责人应向作业人员交待（    ）。,A-带电范围|B-安全措施|C-技术措施|D-注意事项,ABD
445,专业题库,02多选题,依据变电安规，以下属于工作负责人（监护人）的安全责任是（    ）。,A-正确组织工作|B-检查工作票所列安全措施是否正确完备，是否符合现场实际条件，必要时予以补充完善|C-确认工作的必要性|D-工作前，对工作班成员进行工作任务、安全措施、技术措施交底和危险点告知，并确认每个工作班成员都已签名,ABD
446,专业题库,02多选题,依据变电安规，下列（　　）工作需填用变电站（发电厂）第二种工作票。,A-控制盘和低压配电盘、配电箱、电源干线上的|B-高压设备上工作需要部分停电者|C-二次系统和照明等回路上的工作，无需将高压设备停电者或做安全措施者|D-高压电力电缆不需停电的,ACD
447,专业题库,02多选题,依据变电安规，所有工作人员（包括工作负责人）不许单独进入、滞留在（    ）。,A-高压室|B-室外高压设备区内|C-阀厅内|D-控制室内,ABC
448,专业题库,02多选题,依据变电安规，下列关于工作票的有效期与延期，正确的叙述包括（    ）。,A-第一、二种工作票和带电作业工作票的有效时间，以批准的检修期为限|B-第一种工作票只能延期一次|C-第二种工作票只能延期一次|D-带电作业工作票可以延期一次,ABC
449,专业题库,02多选题,依据变电安规，在电气设备上的工作，应填用工作票或事故紧急抢修单，其方式有以下（    ）。,A-变电站（发电厂）第一种、第二种工作票|B-电力电缆第一种、第二种工作票|C-变电站（发电厂）带电作业工作票|D-变电站（发电厂）事故紧急抢修单,ABCD
450,专业题库,02多选题,依据变电安规，关于总、分工作票下列说法正确的是（    ）。,A-总工作票上所列的安全措施应包括所有分工作票上所列的安全措施|B-总、分工作票在格式上与第一种工作票一致|C-分工作票的许可和终结，由分工作票负责人与总工作票负责人办理|D-几个班同时进行工作时，总工作票的工作班成员栏内，需填写全部工作班人员姓名,ABC
451,专业题库,02多选题,依据变电安规，以下属于工作班成员的安全责任是（    ）。,A-正确使用施工器具、安全工器具和劳动防护用品|B-熟悉工作内容、工作流程，掌握安全措施，明确工作中的危险点，并在工作票上履行交底签名确认手续|C-正确组织工作|D-服从工作负责人（监护人）、专责监护人的指挥，严格遵守本规程和劳动纪律，在确定的作业范围内工作，对自己在工作中的行为负责，互相关心工作安全,ABD
452,专业题库,02多选题,依据变电安规，参与公司系统所承担电气工作的外单位或外来工作人员工作前，设备运维管理单位应告知（　　）。,A-作业时间|B-现场电气设备接线情况|C-危险点|D-安全注意事项,BCD
453,专业题库,02多选题,依据变电安规，各类作业人员应接受相应的（    ），经考试合格上岗。,A-安全生产教育|B-安全警示教育|C-岗位技能培训|D-岗位职责培训,AC
454,专业题库,02多选题,依据变电安规，各类作业人员应被告知其作业现场和工作岗位（　　）。,A-存在的危险因素|B-反事故措施|C-防范措施|D-事故紧急处理措施,ACD
455,专业题库,02多选题,依据变电安规，各类作业人员有权拒绝（　　）。,A-违章指挥|B-强令冒险作业|C-加班工作|D-带电工作,AB
456,专业题库,02多选题,依据变电安规，各类作业人员在发现直接危及人身、电网和设备安全的紧急情况时，有权（　　），并立即报告。,A-停止作业|B-在采取可能的紧急措施后撤离作业场所|C-结束工作票|D-立即离开作业现场,AB
457,专业题库,02多选题,依据变电安规，运用中的电气设备，系指（　　）的电气设备。,A-全部带有电压|B-一部分带有电压|C-一经操作即带有电压|D-检修中,ABC
458,专业题库,02多选题,依据变电安规，设备双重名称即设备（　　）。,A-名称|B-状态|C-称号|D-编号,AD
459,专业题库,02多选题,依据变电安规，工作地点，应停电的设备包括：带电部分在作业人员（　　），且无可靠安全措施的设备,A-前面|B-后面|C-两侧|D-上下,BCD
460,专业题库,02多选题,依据变电安规，验电时，以下做法正确的是（    ）。,A-应使用相应电压等级且合格的接触式验电器|B-在装设接地线或合接地刀闸（装置）处对其中一相验电|C-验电前，应先在有电设备上进行试验，确认验电器良好|D-无法在有电设备上进行试验时，可用工频高压发生器等确认验电器良好,ACD
461,专业题库,02多选题,依据变电安规，若室外配电装置的大部分设备停电，只有个别地点保留有带电设备而其他设备无触及带电导体的可能时，以下做法正确的是（　　）。,A-在带电设备四周装设全封闭围栏|B-围栏上悬挂适当数量的“止步，高压危险！”标示牌|C-标示牌应朝向围栏外面|D-标示牌应朝向围栏里面,ABC
462,专业题库,02多选题,依据变电安规，当验明设备确已无电压后，应立即将检修设备（　　）。,A-挂标示牌|B-装设围栏|C-接地|D-三相短路,CD
463,专业题库,02多选题,依据变电安规，在电气设备上工作，保证安全的技术措施有停电、（　　）。,A-办理工作票|B-验电|C-接地|D-悬挂标示牌和装设遮栏（围栏）,BCD
464,专业题库,02多选题,依据变电安规，对无法进行直接验电的设备、高压直流输电设备和雨雪天气时的户外设备，可以进行间接验电，即通过设备的（　　）及各种遥测、遥信等信号的变化来判断。,A-机械指示位置|B-电气指示|C-带电显示装置|D-仪表,ABCD
465,专业题库,02多选题,依据变电安规，在电气设备上工作，保证安全的技术措施由（　　）执行。,A-调控人员|B-检修人员|C-运维人员|D-有权执行操作的人员,CD
466,专业题库,02多选题,依据变电安规，电气设备上工作，检修设备和可能来电侧的断路器（开关）、隔离开关（刀闸）应断开（    ），隔离开关（刀闸）操作把手应锁住，确保不会误送电。,A-控制电源和保护出口压板|B-合闸电源和保护出口压板|C-控制电源|D-合闸能源,CD
467,专业题库,02多选题,依据变电安规，在无绝缘隔板，安全遮拦措施的35kv设备处工作，工作人员工作中正常活动范围与设备带电部分的距离为（    ）m时，设备应停电。,A-1.00|B-0.90|C-0.80|D-0.70,BCD
468,专业题库,02多选题,依据变电安规，装拆接地线，以下做法正确的是（    ）。,"A-装设接地线应先接接地端,后接导体端，接地线应接触良好，连接应可靠 |B-装设接地线应先接导体端，后接接地端，接地线应接触良好，连接应可靠|C-装、拆接地线导体端均应使用绝缘棒和戴绝缘手套|D-人体不得碰触接地线或未接地的导线,以防止触电",ACD
469,专业题库,02多选题,依据变电安规，在室内高压设备上工作，应在（    ）悬挂“止步，高压危险！”的标示牌。,A-工作地点两旁运行设备间隔的遮栏(围栏）上 |B-工作地点对面运行设备间隔的遮栏（围栏）上|C-禁止通行的过道遮栏（围栏)上|D-检修设备上,ABC
470,专业题库,02多选题,依据变电安规，室内母线分段部分、母线交叉部分及部分停电检修易误碰有电设备的，应设有（    ）。,A-明显标志的永久性隔离挡板|B-明显标志的永久性隔离护网|C-临时隔离挡板|D-临时护网,AB
471,专业题库,02多选题,依据变电安规，(　　）、泥石流等灾害发生后，如需要对设备进行巡视时，应制定必要的安全措施，得到设备运维管理单位批准，并至少两人一组，巡视人员应与派出部门之间保持通信联络。,A-地震|B-台风|C-洪水|D-雷电,ABC
472,专业题库,02多选题,依据变电安规，室内（　　），应设有明显标志的永久性隔离挡板（护网）。,A-母线分段部分|B-母线交叉部分|C-部分停电检修易误碰有电设备的|D-母线引下部分,ABC
473,专业题库,02多选题,依据变电安规，高压设备符合下列（    ）条件，可由单人值班或单人操作。,A-室内高压设备的隔离室设有遮栏遮栏的高度在1.7m以上，安装牢固并加锁者|B-室内高压断路器（开关）的操动机构（操作机构）用墙或金属板与该断路器（开关）隔离|C-室内高压断路器（开关）装有远方操动机构（操作机构）者|D-室内高压设备的隔离室设有遮栏，遮栏的高度在1.5m以上，安装牢固并加锁者,ABC
474,专业题库,02多选题,依据变电安规，在运用中的高压设备上工作，分为（    ）。,A-计划停电的工作|B-部分停电的工作|C-不停电的工作|D-全部停电的工作,BCD
475,专业题库,02多选题,依据变电安规，雷雨天气，需要巡视室外高压设备时，应穿绝缘靴，并不准靠近（　　）。,A-互感器|B-避雷针|C-避雷器|D-设备构架,BC
476,专业题库,02多选题,依据变电安规，骨折急救时，肢体骨折可用（　　）等将断骨上、下方两个关节固定，也可利用伤员身体进行固定，避免骨折部位移动，以减少疼痛，防止伤势恶化。,A-夹板|B-木棍|C-废纸板|D-竹竿,ABD
477,专业题库,02多选题,依据变电安规，心肺复苏术操作是否正确，主要靠平时严格训练，掌握正确的方法。而在急救中判断复苏是否有效，可以根据以下（　　）、出现自主呼吸几方面综合考虑。,A-瞳孔|B-面色（口唇）|C-颈动脉搏动|D-神志,ABCD
478,专业题库,02多选题,依据变电安规，脱离电源后，触电伤员如意识丧失，应在开放气道后10s内用（　　）的方法判定伤员有无呼吸。,A-叫|B-看|C-听|D-试,BCD
479,专业题库,02多选题,依据变电安规，装卸高压熔断器，应（　　），必要时使用绝缘夹钳，并站在绝缘垫或绝缘台上。,A-系安全带|B-戴护目眼镜|C-戴线手套|D-戴绝缘手套,BD
480,专业题库,02多选题,依据变电安规，进入SF6配电装置低位区或电缆沟进行工作，应先检测（    ）是否合格。,A-含氧量|B-可燃气体含量|C-CO2气体含量|D-SF6气体含量,AD
481,专业题库,02多选题,依据变电安规，SF6气瓶应放置在（    ）的专门场所，直立保存，并应远离热源和油污的地方。,A-阴凉干燥|B-通风良好|C-敞开|D-密闭,ABC
482,专业题库,02多选题,依据变电安规，SF6设备解体检修，以下做法正确的是（    ）。,A-设备解体检修前，应对SF6气体进行检验|B-根据有毒气体的含量，采取安全防护措施|C-检修人员需穿着防护服并根据需要配戴防毒面具或正压式空气呼吸器|D-取出吸附剂和清除粉尘时，检修人员应戴防毒面具或正压式空气呼吸器和防护手套,ABCD
483,专业题库,02多选题,依据变电安规，从SF6气体钢瓶引出气体时，当瓶内压力降至9.8×104pa（1个大气压）时，即（    ）。,A-停止引出气体|B-拆除减压阀|C-关紧气瓶阀门|D-盖上瓶帽,ACD
484,专业题库,02多选题,依据变电安规，SF6配电装置发生大量泄漏等紧急情况时，以下做法正确的是（    ）。,A-立即封堵泄漏点|B-人员应迅速撤出现场|C-开启所有排风机进行排风|D-未佩戴口罩人员禁止入内,BC
485,专业题库,02多选题,依据变电安规，关于低压回路停电的安全措施，以下做法正确的是（    ）。,A-将检修设备的各方面电源断开取下熔断器|B-在断开的开关或刀闸操作把手上挂 “禁止合闸，有人工作！”的标示牌|C-工作前应验电|D-根据需要采取其他安全措施,ABCD
486,专业题库,02多选题,依据变电安规，低压电气带电工作，禁止使用（    ）等工具。,A-锉刀|B-金属尺|C-带有金属物的毛刷|D-带有金属物的毛掸,ABCD
487,专业题库,02多选题,依据变电安规，在10kV跌落式熔断器上桩头有电的情况下，未采取安全措施前，不准在熔断器下桩头（　　）。,A-新装电缆尾线|B-调换电缆尾线|C-吊装电缆终端头|D-搭接电缆终端头,ABCD
488,专业题库,02多选题,依据变电安规，动火执行人的安全责任有（    ）。,A-动火前应收到经审核批准且允许动火的动火工作票|B-按本工种规定的防火安全要求做好安全措施|C-全面了解动火工作任务和要求，并在规定的范围内执行动火|D-动火工作间断、终结时清理现场并检查有无残留火种,ABCD
489,专业题库,02多选题,依据变电安规，出现下列（    ）情况，禁止动火。,A-压力容器或管道未泄压前|B-存放易燃易爆物品的容器未清洗干净前或未进行有效置换前|C-风力达5级以上的露天作业|D-喷漆现场,ABCD
490,专业题库,02多选题,依据变电安规，以下关于连接电动机械及电动工具的电气回路说法中正确的是（    ）。,A-每个开关控制的电动机械或电动工具不超过两个|B-装设剩余电流动作保护器（漏电保护器）|C-金属外壳应接地|D-应做到“一机一闸一保护”,BCD
491,专业题库,02多选题,依据变电安规，在以下（    ）区域内动火，应填用变电站二级动火工作票。,A-主控室|B-电缆沟道（竖井）|C-电缆夹层|D-蓄电池室（铅酸）,ABC
492,专业题库,02多选题,依据变电安规，在重点防火部位和存放易燃易爆物品的场所附近及存有易燃物品的容器上使用电、气焊时，以下做法正确的是（    ）。,A-应佩戴正压式呼吸器|B-应严格执行动火工作的有关规定|C-按有关规定填用动火工作票|D-备有必要的消防器材,BCD
493,专业题库,02多选题,依据变电安规，动火作业应有专人监护，动火作业前应（    ）。,A-清除动火现场及周围的易燃物品|B-要求消防监护人测定动火部位（现场）氧气含量符合安全要求|C-采取其他有效的安全防火措施|D-配备足够适用的消防器材,ACD
494,专业题库,02多选题,依据变电安规，关于抡大锤，以下说法正确的是（    ）。,A-不准戴手套抡大锤|B-不准用单手抡大锤|C-抡大锤周围不准有人靠近|D-应戴手套抡大锤,ABC
495,专业题库,02多选题,依据变电安规，关于钻床的使用，以下说法正确的是（    ）。,A-使用钻床时，应将工件设置牢固后，方可开始工作|B-清除钻孔内金属碎屑时，应先停止钻头的转动|C-禁止用手直接清除铁屑|D-使用钻床应戴手套,ABC
496,专业题库,02多选题,依据变电安规，关于电气工具和用具的使用，以下做法正确的是（    ）。,A-使用前应检查电线是否完好，有无接地线|B-不合格的禁止使用|C-使用时应按有关规定接好剩余电流动作保护器（漏电保护器）和接地线|D-使用中发生故障，应立即报废,ABC
497,专业题库,02多选题,依据变电安规，动火工作完毕后，（　　）应检查现场有无残留火种，是否清洁等。,A-动火工作票签发人|B-动火执行人|C-消防监护人|D-动火工作负责人,BCD
498,专业题库,02多选题,依据变电安规，使用电气工具时，不准提着电气工具的（    ）部分。,A-把手（手柄）|B-转动|C-金属外壳|D-导线,BD
499,专业题库,02多选题,依据变电安规，变电站（生产厂房）内外的电缆，在进入（    ）等处的电缆孔洞，应用防火材料严密封闭。,A-控制室|B-电缆夹层|C-控制柜|D-开关柜,ABCD
500,专业题库,02多选题,依据变电安规，在带电设备周围禁止使用（    ）进行测量工作。,A-钢卷尺|B-绝缘尺|C-皮卷尺|D-线尺（夹有金属丝者）,ACD
501,专业题库,02多选题,依据变电安规，在以下（    ）区域内动火，应填用变电站一级动火工作票。,A-主控室|B-电缆沟道（竖井）|C-变压器、压变、充油电缆等注油设备|D-蓄电池室（铅酸）,CD
502,专业题库,02多选题,依据变电安规，一级动火在首次动火时，各级审批人和动火工作票签发人均应到现场检查（    ）后方可动火。,A-防火安全措施是否正确完备|B-测定可燃气体的含量是否合格|C-测定易燃液体的可燃蒸汽含量是否合格|D-在监护下做明火试验确无问题,ABCD
503,专业题库,02多选题,依据变电安规，手持电动工器具如有（    ）或有损于安全的机械损伤等故障时，应立即进行修理，在未修复前，不得继续使用。,A-绝缘损坏、电源线护套破裂|B-电源线护套油污|C-保护线脱落|D-插头插座裂开,ACD
504,专业题库,02多选题,依据变电安规，消防监护人的安全责任有（    ）。,A-负责动火现场配备必要的、足够的消防设施，检查现场消防安全措施的完善和正确|B-测定或指定专人测定动火部位（现场）可燃性气体、易燃液体的可燃蒸气含量符合安全要求|C-始终监视现场动火作业的动态，发现失火及时扑救|D-动火工作间断、终结时检查现场有无残留火种,ABCD
505,专业题库,02多选题,依据变电安规，动火工作负责人的安全责任有（    ）。,"A-正确安全地组织动火工作|B-负责检查应做的安全措施并使其完善,并向有关人员布置动火工作，交待防火安全措施和进行安全教育|C-始终监督现场动火工作和负责办理动火工作票开工和终结|D-动火工作间断、终结时检查现场无残留火种",ABCD
506,专业题库,02多选题,依据变电安规，起重工作中，遇到有下列（    ）情况，应制定专门的安全技术措施，经本单位批准，作业时应有技术负责人在场指导，否则不准施工。,A-起重设备在带电导体下方或距带电体较近时|B-两台及以上起重设备抬吊同一物件|C-起吊重要设备、精密物件、不易吊装的大件或在复杂场所进行大件吊装|D-爆炸品、危险品必须起吊时,ABCD
507,专业题库,02多选题,依据变电安规，纤维绳出现下列（    ）情况者禁止使用。,A-松股|B-散股|C-严重磨损|D-断股,ABCD
508,专业题库,02多选题,依据变电安规，钢丝绳应定期浸油，遇有下列（    ）情况之一者应予报废。,A-绳芯损坏或绳股挤出|B-笼状畸形、严重扭结或弯折|C-钢丝绳压扁变形及表面起毛刺严重者|D-钢丝绳断丝数量不多，但断丝增加很快者,ABCD
509,专业题库,02多选题,依据变电安规，起重指挥信号应（    ）。,A-简明|B-统一|C-畅通|D-分工明确,ABCD
510,专业题库,02多选题,依据变电安规，遇有（    ）时，不准进行起重工作。,A-指挥人员看不清各工作地点|B-大雾|C-起重机操作人员未获得有效指挥|D-照明不足,ABCD
511,专业题库,02多选题,依据变电安规，在露天使用起重机，应注意（    ）。,A-机身上不得随意安设增加受风面积的设施|B-起重机驾驶室内，冬天可装有电气取暖设备，在工作人员离开时应切断电源|C-起重机驾驶室内可准用电炉取暖|D-起重机驾驶室内不准用煤火炉取暖,ABD
512,专业题库,02多选题,依据变电安规，起重设备的操作人员和指挥人员应经（    ）后方可独立上岗作业。,A-专业技术培训|B-实际操作考试合格、取得合格证|C-有关安全规程考试合格、取得合格证|D-安全监督管理部门同意,ABC
513,专业题库,02多选题,依据变电安规，起重时，重量达到起重设备额定负荷的90％及以上时，应（    ），否则不准施工。,A-制定专门的安全技术措施|B-经本单位批准|C-作业时应有技术负责人在场指导|D-作业时应有工区领导在场指导,ABC
514,专业题库,02多选题,依据变电安规，汽车起重机行驶时，以下做法正确的是（    ）。,A-应将臂杆放在支架上|B-吊钩挂在挂钩上并将钢丝绳收紧|C-禁止上车操作室坐人|D-吊钩挂在挂钩上并将钢丝绳放松,ABC
515,专业题库,02多选题,依据变电安规，在进行高处作业时，下列说法正确有（    ）。,A-除有关人员外，不准他人在工作地点的下面通行或逗留|B-工作地点下面应有围栏或装设其他保护装置，防止落物伤人|C-如在格栅式的平台上工作，为了防止工具和器材掉落，应采取有效隔离措施，如铺设模板等|D-较大的工具可平放在构架上,ABC
516,专业题库,02多选题,依据变电安规，阀体工作使用升降车上下时，以下做法正确的是（    ）。,A-升降车应可靠接地|B-在升降车上应正确使用安全带|C-进入阀体前，应取下安全帽和安全带上的保险钩，防止金属打击造成元件、光缆的损坏|D-进入阀体前，应注意防止高处坠落,ABCD
517,专业题库,02多选题,依据变电安规，高处作业均应先（    ），方可进行。,A-搭设脚手架|B-使用高空作业车|C-使用升降平台|D-采取其他防止坠落措施,ABCD
518,专业题库,02多选题,依据变电安规，高处作业区周围的孔洞、沟道等应设（    ）并有固定其位置的措施。,A-盖板|B-安全网|C-围栏|D-专人看守,ABC
519,专业题库,02多选题,依据变电安规，安全带禁止系挂在（    ）物件上。,A-隔离开关（刀闸）支持绝缘子|B-普通脚钉|C-线路支柱绝缘子|D-牢固的钢结构,ABC
520,专业题库,02多选题,依据《安全设施标准》，安全标志牌应定期检查，如发现有（    ）等不符合要求的标志牌，应及时修整或更换。,A-破损|B-变形|C-褪色|D-掉落,ABC
521,专业题库,02多选题,《安全设施标准》规定，安全设施是生产经营活动中将危险因素、有害因素控制在安全范围内以及预防、减少、消除危害所设置的（    ）等的统称。,A-安全标志|B-设备标志|C-安全警示线|D-安全防护设施,ABCD
522,专业题库,02多选题,依据《安全设施标准》，高处作业的地点，应至少设置“当心坠落”“禁止抛物”和“必须系安全带”（  ），下方应装设（  ）标志牌。,A-标志牌|B-警示牌|C-“当心落物”|D-“小心坠落”,AC
523,专业题库,02多选题,《安全设施标准》规定，安全防护设施应确保完好，按要求定期（    ）。,A-检查|B-保养|C-维护|D-试验,ABCD
524,专业题库,02多选题,根据两票三制规定，关于总、分工作票下列说法正确的是（    ）。,A-总工作票上所列的安全措施应包括所有分工作票上所列的安全措施|B-总、分工作票在格式上与第一种工作票一致|C-分工作票的许可和终结，由分工作票负责人与总工作票负责人办理|D-几个班同时进行工作时，总工作票的工作班成员栏内，需填写全部工作班成员性名,ABC
525,专业题库,02多选题,根据两票三制规定，在原工作票的停电及安全措施范围内增加工作任务时，应由（    ）同意后，（    ），此时允许手工填写。,A-由工作负责人征得工作班成员同意|B-由工作负责人征得工作票签发人和工作许可人同意|C-在工作票上增填工作项目|D-在工作票上增填安全措施,BC
526,专业题库,02多选题,根据两票三制规定，工作票由（    ）填写。,A-工作票签发人|B-工作负责人|C-工作许可人|D-专责监护人,AB
527,专业题库,02多选题,按照“谁管理、谁负责”的原则，各单位应结合平台应用，明确各专业计划管理人员，健全计划（    ）、（    ）和（    ）工作机制，严格计划编审、发布与执行的全过程管控。,A-编制|B-审批|C-发布|D-执行,ABC
528,专业题库,02多选题,作业风险辨识及评估定级前，应通过作业任务分析、现场勘察等方式全面了解掌握作业现场条件、环境及作业可能存在的危险点，一般应由（    ）或（    ）组织。,A-工作票签发人|B-工作负责人|C-工作许可人|D-安全员,AB
529,专业题库,02多选题,严格外包作业管理，严格执行外包作业（    ）、（    ）、（    ）制度，监督外包作业安全、技术、组织措施的落实，保障外包作业现场施工的安全和质量。,A-双勘察|B-双交底|C-双签发|D-双准入,ABC
530,专业题库,02多选题,现场勘察时，应重点开展以下哪些工作（    ）。,A-仔细核对检修设备台账|B-核查设备运行状况及存在缺陷|C-分析现场作业风险及预控措施|D-对作业风险分级的准确性进行复核,ABCD
